year,country,session,happiness_average,happiness_standard_deviation
2020,AFG,75,5.432658753709199,1.1259109198813058
2020,AGO,75,5.418632958801498,1.1310449438202248
2020,ALB,75,5.537095926412614,1.1440758869908016
2020,AND,75,5.436846052051169,1.1343796647551831
2020,ARE,75,5.440422018348624,1.1405149235474006
2020,ARG,75,5.41683765841883,1.1424433916716958
2020,ARM,75,5.424037066881547,1.1399331990330377
2020,ATG,75,5.347927496580027,1.1501705198358414
2020,AUS,75,5.519648414985591,1.136717521613833
2020,AUT,75,5.359172881355932,1.1497277288135592
2020,AZE,75,5.297983555207518,1.1431178543461238
2020,BDI,75,5.445592105263157,1.138234928229665
2020,BEL,75,5.406355976829911,1.1369437072143231
2020,BEN,75,5.451887445887446,1.1314569696969696
2020,BFA,75,5.420192926045016,1.1456812861736334
2020,BGD,75,5.513992953611275,1.147497592483852
2020,BGR,75,5.418413361169103,1.1320302018093251
2020,BHR,75,5.569500978473582,1.112846575342466
2020,BHS,75,5.459339366515837,1.1443123076923076
2020,BIH,75,5.428083447959652,1.1333488766620814
2020,BLR,75,5.373872157344807,1.1390306084818684
2020,BLZ,75,5.411557729941292,1.1329991389432483
2020,BOL,75,5.406682170542636,1.1172641860465116
2020,BRA,75,5.460054878048781,1.1582883536585369
2020,BRB,75,5.430982478097621,1.1418920525657072
2020,BTN,75,5.52322662601626,1.1464970020325205
2020,BWA,75,5.426510101010101,1.145237525252525
2020,CAF,75,5.505688291139241,1.1499236550632912
2020,CAN,75,5.3894889937106925,1.1340228773584906
2020,CHE,75,5.4277078891258,1.1288199360341151
2020,CHL,75,5.492791878172589,1.1536872733865118
2020,CHN,75,5.503050030138637,1.162184629294756
2020,CIV,75,5.4671981320880585,1.1523641761174117
2020,CMR,75,5.455960679177837,1.133424218051832
2020,COD,75,5.404448082319925,1.1317065014031804
2020,COG,75,5.417782738095238,1.1470571428571428
2020,COL,75,5.429688109161794,1.1272408057179988
2020,COM,75,5.459166163141994,1.1375381268882174
2020,CPV,75,5.452805944055944,1.128040646853147
2020,CRI,75,5.399437712069802,1.1410488124091132
2020,CUB,75,5.333494031221304,1.1296436179981637
2020,CYP,75,5.386906443071492,1.102945145631068
2020,CZE,75,5.445582306830908,1.1425411534154537
2020,DEU,75,5.3505221615057685,1.1170964784456587
2020,DJI,75,5.38794927536232,1.1480728985507247
2020,DMA,75,5.472259970457903,1.141620014771049
2020,DNK,75,5.520687732342008,1.160810408921933
2020,DOM,75,5.458087330873309,1.132179827798278
2020,DZA,75,5.46988309352518,1.1267186151079136
2020,ECU,75,5.419357142857143,1.1502954464285713
2020,EGY,75,5.418308823529412,1.1145107620320855
2020,ERI,75,5.335571428571429,1.1192719047619049
2020,ESP,75,5.409495333563775,1.1374893536121673
2020,EST,75,5.4283192261185,1.1692604594921403
2020,ETH,75,5.4791911764705885,1.140465651260504
