year,country,session,happiness_average
2015,AFG,70,5.395772034459908
2015,AGO,70,5.461906721536352
2015,ALB,70,5.487689243027889
2015,AND,70,5.432888888888889
2015,ARE,70,5.328246708246708
2015,ARG,70,5.327285714285714
2015,ARM,70,5.3464280331574985
2015,ATG,70,5.435547652916074
2015,AUS,70,5.436468208092486
2015,AUT,70,5.399826152683295
2015,AZE,70,5.390436046511628
2015,BDI,70,5.422322380106571
2015,BEL,70,5.470073349633252
2015,BEN,70,5.458184238551652
2015,BFA,70,5.5069535783365575
2015,BGD,70,5.541163498098859
2015,BGR,70,5.425178896300788
2015,BHR,70,5.39795905511811
2015,BHS,70,5.432551647124511
2015,BIH,70,5.451717557251908
2015,BLR,70,5.406746641074856
2015,BLZ,70,5.4329263044647655
2015,BOL,70,5.415950704225353
2015,BRA,70,5.451831174631533
2015,BRB,70,5.416987277353689
2015,BRN,70,5.496915064102564
2015,BTN,70,5.536941875825628
2015,BWA,70,5.398085769980507
2015,CAF,70,5.370071942446043
2015,CAN,70,5.445134865134865
2015,CHE,70,5.434153577661431
2015,CHL,70,5.48659793814433
2015,CHN,70,5.577296559257236
2015,CIV,70,5.500253164556962
2015,COD,70,5.422267584849975
2015,COG,70,5.465460526315789
2015,COL,70,5.431528073916134
2015,COM,70,5.451705475141599
2015,CPV,70,5.460293378038559
2015,CRI,70,5.36435857321652
2015,CUB,70,5.386846774193548
2015,CYP,70,5.429332181922856
2015,CZE,70,5.182624798711755
2015,DEU,70,5.373520621637777
2015,DJI,70,5.3943396226415095
2015,DMA,70,5.466561567959097
2015,DNK,70,5.493493635077794
2015,DOM,70,5.416858127512923
2015,DZA,70,5.425212247738344
2015,ECU,70,5.406229166666667
2015,EGY,70,5.407290192113245
2015,ERI,70,5.489863387978142
2015,ESP,70,5.357588174273859
2015,EST,70,5.404450833812536
2015,ETH,70,5.513383345836459
2015,EU,70,5.36207486631016
2015,FIN,70,5.453056680161944
2015,FJI,70,5.535845298749421
2015,FRA,70,5.356227915194347
2015,FSM,70,5.488746250749851
2015,GAB,70,5.445429885057471
2015,GBR,70,5.421677057356608
2015,GEO,70,5.633759727626459
2015,GHA,70,5.429647207055859
2015,GIN,70,5.505063176895307
2015,GMB,70,5.4111800241643175
2015,GNB,70,5.480719008264463
2015,GNQ,70,5.439201995012469
2015,GRC,70,5.421045665122436
2015,GRD,70,5.504959647835657
2015,GTM,70,5.441627006087437
2015,GUY,70,5.430987215909091
2015,HND,70,5.392621527777777
2015,HRV,70,5.423472037283622
2015,HTI,70,5.456816559600285
2015,HUN,70,5.359294429708223
2015,IDN,70,5.479382716049383
2015,IND,70,5.441333597150772
2015,IRL,70,5.514759409242497
2015,IRN,70,5.32964995269631
2015,IRQ,70,5.375991271820449
2015,ISL,70,5.41384251036116
2015,ISR,70,5.327758873569962
2015,ITA,70,5.445107665805341
2015,JAM,70,5.465050997782705
2015,JOR,70,5.458069187449719
2015,JPN,70,5.479416433239963
2015,KAZ,70,5.429607046070461
2015,KEN,70,5.453437625350982
2015,KGZ,70,5.415563933396166
2015,KHM,70,5.472966226138032
2015,KIR,70,5.514739633558341
2015,KNA,70,5.535824773413898
2015,KOR,70,5.501719155242682
2015,KWT,70,5.373891764705882
2015,LAO,70,5.527068852459017
2015,LBN,70,5.345052779732583
2015,LBR,70,5.473052749719416
2015,LBY,70,5.273377630121817
2015,LCA,70,5.400146989094358
2015,LIE,70,5.369417409184373
2015,LKA,70,5.462350069735007
2015,LSO,70,5.433260560037969
2015,LTU,70,5.2441219158200285
2015,LUX,70,5.376429227941177
2015,LVA,70,5.4444770504138456
2015,MAR,70,5.449914330218069
2015,MCO,70,5.449304775280899
2015,MDA,70,5.509189765458423
2015,MDG,70,5.474759801214799
2015,MDV,70,5.453528138528139
2015,MEX,70,5.483611691022964
2015,MHL,70,5.47655625
2015,MKD,70,5.490256842105263
2015,MLI,70,5.487326552851435
2015,MLT,70,5.445947319778189
2015,MMR,70,5.503080191184281
2015,MNE,70,5.501304347826087
2015,MNG,70,5.613328335832084
2015,MOZ,70,5.484563279857397
2015,MRT,70,5.424530583214794
2015,MUS,70,5.474454624781849
2015,MWI,70,5.518367346938776
2015,MYS,70,5.326577645895154
2015,NAM,70,5.47665656128194
2015,NER,70,5.467909887359199
2015,NGA,70,5.382491694352159
2015,NIC,70,5.51042891183479
2015,NLD,70,5.468304985337244
2015,NOR,70,5.4318679669917485
2015,NPL,70,5.509669685668621
2015,NRU,70,5.482762886597938
2015,NZL,70,5.387294460641399
2015,OMN,70,5.480130434782609
2015,PAK,70,5.355616710875331
2015,PAN,70,5.485496495327103
2015,PER,70,5.455427135678392
2015,PHL,70,5.469755681818183
2015,PLW,70,5.596002522068098
2015,PNG,70,5.518141843971631
2015,POL,70,5.317375851996105
2015,PRK,70,5.402238267148014
2015,PRT,70,5.499174107142857
2015,PRY,70,5.543142548596112
2015,PSE,70,5.392425036390102
2015,QAT,70,5.270036101083032
2015,ROU,70,5.440043596730245
2015,RUS,70,5.348414504088162
2015,RWA,70,5.458091286307054
2015,SAU,70,5.388939708939708
2015,SDN,70,5.458113810741689
2015,SEN,70,5.489108808290156
2015,SLB,70,5.5081505540695455
2015,SLE,70,5.467063750581666
2015,SLV,70,5.4319071310116085
2015,SMR,70,5.467476340694006
2015,SOM,70,5.501715328467153
2015,SRB,70,5.373962008141112
2015,SSD,70,5.481107899807322
2015,STP,70,5.447662007623888
2015,SUR,70,5.537754010695187
2015,SVK,70,5.434386376981796
2015,SVN,70,5.508725961538461
2015,SWE,70,5.4700606520090975
2015,SWZ,70,5.569551246537396
2015,SYC,70,5.488044444444444
2015,SYR,70,5.248548978522787
2015,TCD,70,5.366837387964148
2015,TGO,70,5.520831460674157
2015,THA,70,5.562132112491825
2015,TJK,70,5.448807288790724
2015,TKM,70,5.538970588235294
2015,TLS,70,5.519123006833713
2015,TON,70,5.53196261682243
2015,TTO,70,5.439781128404668
2015,TUN,70,5.411779556650246
2015,TUR,70,5.41823754789272
2015,TUV,70,5.503760307861462
2015,TZA,70,5.473078773301262
2015,UGA,70,5.426987104337633
2015,UKR,70,5.336215851602024
2015,URY,70,5.282366529774127
2015,USA,70,5.412018369690012
2015,VAT,70,5.3493740031897925
2015,VCT,70,5.36237044638276
2015,VEN,70,5.397919171676686
2015,VNM,70,5.532964824120603
2015,VUT,70,5.523035714285714
2015,WSM,70,5.412190766550522
2015,YEM,70,5.382508567511994
2015,ZAF,70,5.430956477732793
2015,ZMB,70,5.490849740932642
2015,ZWE,70,5.479617666446934
2016,AFG,71,5.427923371647509
2016,AGO,71,5.4875825019186495
2016,ALB,71,5.497964752700397
2016,AND,71,5.5073629864972204
2016,ARE,71,5.330911557243624
2016,ARG,71,5.551106796116504
2016,ARM,71,5.378964980544748
2016,ATG,71,5.327958579881656
2016,AUS,71,5.470654936461387
2016,AUT,71,5.373590208522212
2016,AZE,71,5.30358306188925
2016,BDI,71,5.392360000000001
2016,BEL,71,5.448068669527897
2016,BEN,71,5.427241379310345
2016,BFA,71,5.464428134556575
2016,BGD,71,5.465812459858703
2016,BGR,71,5.512990904226859
2016,BHR,71,5.44487012987013
2016,BHS,71,5.418133924175283
2016,BIH,71,5.3618886774500485
2016,BLR,71,5.4081892230576445
2016,BLZ,71,5.3857655954631385
2016,BOL,71,5.395875169606513
2016,BRA,71,5.428045977011495
2016,BRB,71,5.556737400530504
2016,BTN,71,5.531075085324232
2016,BWA,71,5.482390336935791
2016,CAF,71,5.416372453928225
2016,CAN,71,5.502568875651527
2016,CHE,71,5.524513788098694
2016,CHL,71,5.45988085106383
2016,CHN,71,5.488745696015742
2016,CIV,71,5.453438874230431
2016,CMR,71,5.512540473225404
2016,COD,71,5.443945445689236
2016,COG,71,5.479526748971193
2016,COL,71,5.408978046934141
2016,COM,71,5.515908818236353
2016,CPV,71,5.406847389558233
2016,CRI,71,5.43639668826494
2016,CUB,71,5.395261627906977
2016,CYP,71,5.451527541169789
2016,CZE,71,5.249775280898876
2016,DEU,71,5.461166489925769
2016,DMA,71,5.474870071684588
2016,DNK,71,5.508757431629013
2016,DOM,71,5.43159004867496
2016,DZA,71,5.439324221716022
2016,ECU,71,5.3995182555780925
2016,EGY,71,5.42898493259318
2016,ERI,71,5.33090209020902
2016,ESP,71,5.483239099185434
2016,EST,71,5.327822997416021
2016,ETH,71,5.429643987341772
2016,EU,71,5.396862139917696
2016,FIN,71,5.444652908067543
2016,FJI,71,5.560050684237202
2016,FRA,71,5.346595954612728
2016,FSM,71,5.491857461024499
2016,GAB,71,5.436337054758107
2016,GBR,71,5.425884955752212
2016,GEO,71,5.533029865125241
2016,GHA,71,5.448574690150033
2016,GIN,71,5.449729907773387
2016,GMB,71,5.338
2016,GNB,71,5.485024840312278
2016,GNQ,71,5.4701276024177306
2016,GRC,71,5.422891986062718
2016,GRD,71,5.509937416182388
2016,GTM,71,5.415061652281135
2016,GUY,71,5.48216457960644
2016,HND,71,5.4104735682819385
2016,HRV,71,5.46172706935123
2016,HTI,71,5.438070509766556
2016,HUN,71,5.389685442574981
2016,IDN,71,5.504175467099919
2016,IND,71,5.392152514872905
2016,IRL,71,5.445591928251121
2016,IRN,71,5.279611360239164
2016,IRQ,71,5.3402115003304695
2016,ISL,71,5.426362378976487
2016,ISR,71,5.365094602114636
2016,ITA,71,5.435344718532574
2016,JAM,71,5.430847967887607
2016,JOR,71,5.3625
2016,JPN,71,5.4171061269146605
2016,KAZ,71,5.520671046457062
2016,KEN,71,5.508233394833948
2016,KGZ,71,5.467483731019523
2016,KHM,71,5.3560955056179775
2016,KIR,71,5.579949937421777
2016,KNA,71,5.477827298050139
2016,KOR,71,5.371120466321243
2016,KWT,71,5.435506993006993
2016,LAO,71,5.523951675759937
2016,LBN,71,5.302602644398052
2016,LBR,71,5.501273712737127
2016,LBY,71,5.4158196181698495
2016,LCA,71,5.457379844961241
2016,LIE,71,5.361700507614213
2016,LKA,71,5.534188235294117
2016,LSO,71,5.453279952550415
2016,LTU,71,5.489565217391304
2016,LUX,71,5.374587224505043
2016,LVA,71,5.446265870052278
2016,MAR,71,5.483124525436598
2016,MCO,71,5.429053972104306
2016,MDA,71,5.394969217238346
2016,MDG,71,5.548608179419524
2016,MDV,71,5.483029772329247
2016,MEX,71,5.478732999284181
2016,MHL,71,5.5212658994548764
2016,MKD,71,5.374752656650788
2016,MLI,71,5.422833819241983
2016,MLT,71,5.43203895313451
2016,MMR,71,5.492768707482993
2016,MNE,71,5.452039702233251
2016,MNG,71,5.52791538122521
2016,MOZ,71,5.562402528977872
2016,MRT,71,5.477287909151636
2016,MUS,71,5.468326118326118
2016,MWI,71,5.488099117447386
2016,MYS,71,5.4105817174515245
2016,NAM,71,5.465026420079259
2016,NER,71,5.427848898216159
2016,NGA,71,5.411896758703482
2016,NIC,71,5.526008032128514
2016,NLD,71,5.4191131855309225
2016,NOR,71,5.504596829772571
2016,NPL,71,5.520136589403974
2016,NRU,71,5.493441475826972
2016,NZL,71,5.381886792452831
2016,OMN,71,5.508145161290322
2016,PAK,71,5.352326674500588
2016,PAN,71,5.534574468085108
2016,PER,71,5.479569767441861
2016,PHL,71,5.486820349761527
2016,PLW,71,5.519329729729729
2016,PNG,71,5.504904231625835
2016,POL,71,5.497620452310718
2016,PRK,71,5.317948588709678
2016,PRT,71,5.496827773995916
2016,PRY,71,5.455354752342704
2016,PSE,71,5.352697095435684
2016,QAT,71,5.313573407202217
2016,ROU,71,5.423994800693241
2016,RUS,71,5.3957863089731735
2016,RWA,71,5.5466773162939305
2016,SAU,71,5.376982142857142
2016,SDN,71,5.468267148014441
2016,SEN,71,5.407057926829268
2016,SGP,71,5.4906799450549455
2016,SLB,71,5.517179836512262
2016,SLE,71,5.468684050939964
2016,SLV,71,5.428033112582782
2016,SMR,71,5.459880341880342
2016,SOM,71,5.509781801299907
2016,SRB,71,5.47795381654907
2016,SSD,71,5.48652088772846
2016,STP,71,5.44135593220339
2016,SUR,71,5.5323500410846345
2016,SVK,71,5.420202090592334
2016,SVN,71,5.526790123456791
2016,SWE,71,5.488568507157464
2016,SWZ,71,5.501497189575882
2016,SYC,71,5.467127761767531
2016,SYR,71,5.253323895809739
2016,TCD,71,5.361214484679666
2016,TGO,71,5.481632955106068
2016,THA,71,5.546456413890857
2016,TJK,71,5.465587797619048
2016,TKM,71,5.497777777777778
2016,TLS,71,5.5341374269005845
2016,TON,71,5.442503856041131
2016,TTO,71,5.422999050933249
2016,TUN,71,5.573188405797102
2016,TUR,71,5.366786828422877
2016,TUV,71,5.56718708536046
2016,TZA,71,5.441390484003281
2016,UGA,71,5.427969121140143
2016,UKR,71,5.320684458398743
2016,URY,71,5.3139713896457765
2016,USA,71,5.447230501257984
2016,UZB,71,5.437898734177216
2016,VAT,71,5.386853785900783
2016,VCT,71,5.429258836944128
2016,VEN,71,5.330881481481482
2016,VNM,71,5.568656351791531
2016,VUT,71,5.494159123392091
2016,WSM,71,5.479072212065813
2016,YEM,71,5.332216704288938
2016,ZAF,71,5.401272189349113
2016,ZMB,71,5.528228867165037
2016,ZWE,71,5.476391639163916
2017,AFG,72,5.383345454545455
2017,AGO,72,5.450793854033291
2017,ALB,72,5.441845906902087
2017,AND,72,5.45159793814433
2017,ARE,72,5.409654994850669
2017,ARG,72,5.496069364161849
2017,ARM,72,5.420993657505285
2017,ATG,72,5.37035749265426
2017,AUS,72,5.467720242098184
2017,AUT,72,5.279941471571907
2017,AZE,72,5.440585141354371
2017,BDI,72,5.403504823151126
2017,BEL,72,5.432659511031604
2017,BEN,72,5.48223291626564
2017,BFA,72,5.428963963963964
2017,BGD,72,5.4658303378864135
2017,BGR,72,5.442374742621826
2017,BHR,72,5.417839448102853
2017,BHS,72,5.442678485864877
2017,BIH,72,5.461048034934498
2017,BLR,72,5.3933376205787775
2017,BLZ,72,5.484732620320855
2017,BOL,72,5.401184882533197
2017,BRA,72,5.482237061769615
2017,BRB,72,5.46578856152513
2017,BRN,72,5.588632619439868
2017,BTN,72,5.471867924528302
2017,BWA,72,5.452563636363636
2017,CAF,72,5.4715778341793575
2017,CAN,72,5.5496268907563024
2017,CHE,72,5.506537467700259
2017,CHL,72,5.464216499345264
2017,CHN,72,5.543941908713694
2017,CIV,72,5.407658501440922
2017,CMR,72,5.409023696682465
2017,COD,72,5.4263444108761325
2017,COG,72,5.42721212121212
2017,COL,72,5.402724919093851
2017,COM,72,5.456009825327511
2017,CPV,72,5.470072225869994
2017,CRI,72,5.466900293918155
2017,CUB,72,5.380745085605581
2017,CYP,72,5.389904904904904
2017,CZE,72,5.306933797909408
2017,DEU,72,5.428363483382414
2017,DJI,72,5.4033676703645
2017,DMA,72,5.405770513675784
2017,DNK,72,5.52700067704807
2017,DOM,72,5.350653879686137
2017,DZA,72,5.369042416452442
2017,ECU,72,5.512147562582346
2017,EGY,72,5.418302354399009
2017,ERI,72,5.452690763052209
2017,ESP,72,5.45936449579832
2017,EST,72,5.424611486486487
2017,ETH,72,5.44873417721519
2017,EU,72,5.376532180595582
2017,FIN,72,5.454773333333334
